timestamp,value
2024-01-01T00:00:00.000Z,757
2024-01-01T00:01:00.000Z,726
2024-01-01T00:02:00.000Z,653
2024-01-01T00:03:00.000Z,605
2024-01-01T00:04:00.000Z,636
2024-01-01T00:05:00.000Z,683
2024-01-01T00:06:00.000Z,677
2024-01-01T00:07:00.000Z,791
2024-01-01T00:08:00.000Z,621
2024-01-01T00:09:00.000Z,645
2024-01-01T00:10:00.000Z,616
2024-01-01T00:11:00.000Z,653
2024-01-01T00:12:00.000Z,722
2024-01-01T00:13:00.000Z,611
2024-01-01T00:14:00.000Z,631
2024-01-01T00:15:00.000Z,777
2024-01-01T00:16:00.000Z,604
2024-01-01T00:17:00.000Z,752
2024-01-01T00:18:00.000Z,672
2024-01-01T00:19:00.000Z,745
2024-01-01T00:20:00.000Z,736
2024-01-01T00:21:00.000Z,731
2024-01-01T00:22:00.000Z,758
2024-01-01T00:23:00.000Z,749
2024-01-01T00:24:00.000Z,620
2024-01-01T00:25:00.000Z,755
2024-01-01T00:26:00.000Z,736
2024-01-01T00:27:00.000Z,613
2024-01-01T00:28:00.000Z,753
2024-01-01T00:29:00.000Z,645
2024-01-01T00:30:00.000Z,622
2024-01-01T00:31:00.000Z,746
2024-01-01T00:32:00.000Z,695
2024-01-01T00:33:00.000Z,650
2024-01-01T00:34:00.000Z,610
2024-01-01T00:35:00.000Z,744
2024-01-01T00:36:00.000Z,749
2024-01-01T00:37:00.000Z,712
2024-01-01T00:38:00.000Z,641
2024-01-01T00:39:00.000Z,764
2024-01-01T00:40:00.000Z,656
2024-01-01T00:41:00.000Z,767
2024-01-01T00:42:00.000Z,733
2024-01-01T00:43:00.000Z,773
2024-01-01T00:44:00.000Z,663
2024-01-01T00:45:00.000Z,608
2024-01-01T00:46:00.000Z,727
2024-01-01T00:47:00.000Z,703
2024-01-01T00:48:00.000Z,673
2024-01-01T00:49:00.000Z,647
2024-01-01T00:50:00.000Z,704
2024-01-01T00:51:00.000Z,635
2024-01-01T00:52:00.000Z,643
2024-01-01T00:53:00.000Z,794
2024-01-01T00:54:00.000Z,797
2024-01-01T00:55:00.000Z,649
