timestamp,value
2024-01-01T00:00:00.000Z,103397
2024-01-02T00:00:00.000Z,111082
2024-01-03T00:00:00.000Z,102196
2024-01-04T00:00:00.000Z,99486
2024-01-05T00:00:00.000Z,113306
2024-01-06T00:00:00.000Z,68295
2024-01-07T00:00:00.000Z,80556
2024-01-08T00:00:00.000Z,117256
2024-01-09T00:00:00.000Z,111785
2024-01-10T00:00:00.000Z,97703
2024-01-11T00:00:00.000Z,98137
2024-01-12T00:00:00.000Z,107080
2024-01-13T00:00:00.000Z,77908
2024-01-14T00:00:00.000Z,76524
2024-01-15T00:00:00.000Z,108208
2024-01-16T00:00:00.000Z,120556
2024-01-17T00:00:00.000Z,107862
2024-01-18T00:00:00.000Z,100814
2024-01-19T00:00:00.000Z,99840
2024-01-20T00:00:00.000Z,76819
2024-01-21T00:00:00.000Z,78605
2024-01-22T00:00:00.000Z,102203
2024-01-23T00:00:00.000Z,101130
2024-01-24T00:00:00.000Z,98847
2024-01-25T00:00:00.000Z,109680
2024-01-26T00:00:00.000Z,106938
2024-01-27T00:00:00.000Z,66399
2024-01-28T00:00:00.000Z,83369
2024-01-29T00:00:00.000Z,96143
2024-01-30T00:00:00.000Z,104592
2024-01-31T00:00:00.000Z,105115
2024-02-01T00:00:00.000Z,103196
2024-02-02T00:00:00.000Z,113593
2024-02-03T00:00:00.000Z,66085
2024-02-04T00:00:00.000Z,73778
2024-02-05T00:00:00.000Z,116311
2024-02-06T00:00:00.000Z,115191
2024-02-07T00:00:00.000Z,108706
2024-02-08T00:00:00.000Z,101873
2024-02-09T00:00:00.000Z,99300
2024-02-10T00:00:00.000Z,69379
2024-02-11T00:00:00.000Z,71848
2024-02-12T00:00:00.000Z,113275
2024-02-13T00:00:00.000Z,103393
2024-02-14T00:00:00.000Z,105383
2024-02-15T00:00:00.000Z,113230
2024-02-16T00:00:00.000Z,112584
2024-02-17T00:00:00.000Z,79164
2024-02-18T00:00:00.000Z,72757
2024-02-19T00:00:00.000Z,105111
2024-02-20T00:00:00.000Z,102194
2024-02-21T00:00:00.000Z,97308
2024-02-22T00:00:00.000Z,107452
2024-02-23T00:00:00.000Z,103416
2024-02-24T00:00:00.000Z,83148
2024-02-25T00:00:00.000Z,83607
2024-02-26T00:00:00.000Z,100599
2024-02-27T00:00:00.000Z,116672
2024-02-28T00:00:00.000Z,108729
2024-02-29T00:00:00.000Z,102316
2024-03-01T00:00:00.000Z,111898
2024-03-02T00:00:00.000Z,73813
2024-03-03T00:00:00.000Z,76636
2024-03-04T00:00:00.000Z,103497
2024-03-05T00:00:00.000Z,114413
2024-03-06T00:00:00.000Z,107269
2024-03-07T00:00:00.000Z,110521
2024-03-08T00:00:00.000Z,116379
2024-03-09T00:00:00.000Z,75839
2024-03-10T00:00:00.000Z,82936
2024-03-11T00:00:00.000Z,109953
2024-03-12T00:00:00.000Z,116531
2024-03-13T00:00:00.000Z,100948
2024-03-14T00:00:00.000Z,112986
2024-03-15T00:00:00.000Z,106957
2024-03-16T00:00:00.000Z,68397
2024-03-17T00:00:00.000Z,74989
2024-03-18T00:00:00.000Z,117168
2024-03-19T00:00:00.000Z,122404
2024-03-20T00:00:00.000Z,100593
2024-03-21T00:00:00.000Z,115278
2024-03-22T00:00:00.000Z,104597
2024-03-23T00:00:00.000Z,76612
2024-03-24T00:00:00.000Z,73467
2024-03-25T00:00:00.000Z,107871
2024-03-26T00:00:00.000Z,121948
2024-03-27T00:00:00.000Z,108928
2024-03-28T00:00:00.000Z,113823
2024-03-29T00:00:00.000Z,117285
2024-03-30T00:00:00.000Z,70104
2024-03-31T00:00:00.000Z,73922
2024-04-01T00:00:00.000Z,118141
2024-04-02T00:00:00.000Z,96575
2024-04-03T00:00:00.000Z,106390
2024-04-04T00:00:00.000Z,113268
2024-04-05T00:00:00.000Z,96963
2024-04-06T00:00:00.000Z,89612
2024-04-07T00:00:00.000Z,84244
2024-04-08T00:00:00.000Z,97373
2024-04-09T00:00:00.000Z,106482
2024-04-10T00:00:00.000Z,116590
2024-04-11T00:00:00.000Z,113259
2024-04-12T00:00:00.000Z,107453
2024-04-13T00:00:00.000Z,73864
2024-04-14T00:00:00.000Z,85138
2024-04-15T00:00:00.000Z,117646
2024-04-16T00:00:00.000Z,108501
2024-04-17T00:00:00.000Z,109474
2024-04-18T00:00:00.000Z,114303
2024-04-19T00:00:00.000Z,122377
2024-04-20T00:00:00.000Z,77674
2024-04-21T00:00:00.000Z,83296
2024-04-22T00:00:00.000Z,109381
2024-04-23T00:00:00.000Z,113921
2024-04-24T00:00:00.000Z,98265
2024-04-25T00:00:00.000Z,116819
2024-04-26T00:00:00.000Z,113067
2024-04-27T00:00:00.000Z,73846
2024-04-28T00:00:00.000Z,83968
2024-04-29T00:00:00.000Z,113544
2024-04-30T00:00:00.000Z,109029
2024-05-01T00:00:00.000Z,124956
2024-05-02T00:00:00.000Z,108708
2024-05-03T00:00:00.000Z,105621
2024-05-04T00:00:00.000Z,88272
2024-05-05T00:00:00.000Z,82457
2024-05-06T00:00:00.000Z,115185
2024-05-07T00:00:00.000Z,119841
2024-05-08T00:00:00.000Z,102057
2024-05-09T00:00:00.000Z,99537
2024-05-10T00:00:00.000Z,100301
2024-05-11T00:00:00.000Z,74946
2024-05-12T00:00:00.000Z,78898
2024-05-13T00:00:00.000Z,114697
2024-05-14T00:00:00.000Z,118091
2024-05-15T00:00:00.000Z,107108
2024-05-16T00:00:00.000Z,99170
2024-05-17T00:00:00.000Z,122394
2024-05-18T00:00:00.000Z,73473
2024-05-19T00:00:00.000Z,75998
2024-05-20T00:00:00.000Z,108165
2024-05-21T00:00:00.000Z,105403
2024-05-22T00:00:00.000Z,105853
2024-05-23T00:00:00.000Z,112661
2024-05-24T00:00:00.000Z,125458
2024-05-25T00:00:00.000Z,80906
2024-05-26T00:00:00.000Z,87983
2024-05-27T00:00:00.000Z,120090
2024-05-28T00:00:00.000Z,115597
2024-05-29T00:00:00.000Z,113654
2024-05-30T00:00:00.000Z,124160
2024-05-31T00:00:00.000Z,108312
2024-06-01T00:00:00.000Z,80071
2024-06-02T00:00:00.000Z,77711
2024-06-03T00:00:00.000Z,109453
2024-06-04T00:00:00.000Z,108566
2024-06-05T00:00:00.000Z,115118
